,Temas
1,ahegao
3,a24
7,animais da caatinga
8,animal crossing
9,arcane
11,artes com macacos e sobre o cotidiano
23,brasilidades e coisas fofas
25,calopsitas
26,capivara
27,caveiras engraçadas
36,dandadan
42,dungeon meshi
49,fallout
51,fanarts de one piece
58,frieren
64,godzilla
83,league of legends
88,lotr
96,mob psycho 100
97,monstros s.a.
105,one piece
106,one piece (nico robin stan)
138,stardew valley
139,steven universe
140,steven universo
147,tapas & beijos
152,the office
154,transformers
169,arcane
178,doctor who
179,dungeon meshi
187,one piece
